Path,Emotions
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-01-02-01-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-01-02-02-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-02-01-02-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-02-01-01-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-01-01-01-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-01-01-02-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-02-02-02-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-02-02-01-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-02-02-01-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-01-01-01-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-02-02-02-16.wav,happy
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-01-01-02-16.wav,happy
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-02-01-01-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-01-01-02-02-16.wav,neutral
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-01-02-01-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-02-01-01-16.wav,happy
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-01-02-01-16.wav,happy
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-02-02-02-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-01-01-02-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-01-01-01-01-16.wav,neutral
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-01-01-01-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-01-01-02-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-02-02-02-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-02-02-01-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-01-02-01-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-01-02-02-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-02-01-02-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-02-01-01-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-02-01-02-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-01-02-02-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-01-02-02-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-01-01-02-01-16.wav,neutral
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-02-01-02-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-01-01-01-16.wav,happy
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-02-02-01-16.wav,happy
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-02-02-02-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-02-02-01-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-01-01-01-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-01-01-02-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-02-01-02-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-02-01-01-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-01-02-01-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-01-02-02-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-01-01-02-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-02-02-02-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-02-01-02-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-02-01-01-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-07-01-02-01-16.wav,disgust
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-04-01-02-02-16.wav,sad
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-02-02-02-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-02-02-01-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-05-01-01-01-16.wav,angry
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-06-01-01-02-16.wav,fear
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-01-02-01-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-08-02-01-01-16.wav,surprise
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-01-01-01-02-16.wav,neutral
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-01-01-01-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-02-02-02-01-16.wav,calm
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-01-02-02-16.wav,happy
/Users/stephen/Desktop/Emotion_Speech_Detection/data/RAVDESS/Actor_16/03-01-03-02-01-02-16.wav,happy
